#this file contains all the header lines of the file dmel-all-gene-r4.3.fasta
>FBgn0052100 type=gene; loc=3L:12241499..12243147; ID=FBgn0052100; name=CG32100; 
>FBgn0031526 type=gene; loc=2L:3357684..3358618; ID=FBgn0031526; name=CG8838; 
>FBgn0034248 type=gene; loc=2R:complement(13100653..13100901); ID=FBgn0034248; name=CG14483; 
>FBgn0030969 type=gene; loc=X:18692153..18694015; ID=FBgn0030969; name=CG7288; 
>FBgn0053626 type=gene; loc=2R:7925986..7926603; ID=FBgn0053626; name=CG33626; 
>FBgn0037117 type=gene; loc=3L:21613927..21617072; ID=FBgn0037117; name=CG11248; 
>FBgn0033614 type=gene; loc=2R:complement(6818154..6818883); ID=FBgn0033614; name=Obp47b; 
>FBgn0031109 type=gene; loc=X:20226406..20227085; ID=FBgn0031109; name=Obp19a; 
>FBgn0052038 type=gene; loc=3L:9425858..9426419; ID=FBgn0052038; name=CG32038; 
>FBgn0036574 type=gene; loc=3L:16097287..16101950; ID=FBgn0036574; name=CG16838; 
>FBgn0052984 type=gene; loc=2L:8965134..8967028; ID=FBgn0052984; name=CG32984; 
>FBgn0037994 type=gene; loc=3R:complement(8018425..8020733); ID=FBgn0037994; name=CG4810; 
>FBgn0002593 type=gene; loc=2L:419931..420706; ID=FBgn0002593; name=RpLP1; 
>FBgn0039112 type=gene; loc=3R:complement(19585207..19586318); ID=FBgn0039112; name=CG10219; 
>FBgn0032054 type=gene; loc=2L:8517446..8519180; ID=FBgn0032054; name=CG13090; 
>FBgn0052655 type=gene; loc=X:complement(12068608..12069666); ID=FBgn0052655; name=CG32655; 
>FBgn0030883 type=gene; loc=X:complement(17739960..17741221); ID=FBgn0030883; name=CG7772; 
>FBgn0039790 type=gene; loc=3R:complement(26418734..26427211); ID=FBgn0039790; name=CG2246; 
>FBgn0010612 type=gene; loc=2L:complement(10975533..10976359); ID=FBgn0010612; name=l(2)06225; 
>FBgn0024329 type=gene; loc=3R:complement(14558755..14569280); ID=FBgn0024329; name=Mekk1; 
>FBgn0034979 type=gene; loc=2R:complement(19630767..19634230); ID=FBgn0034979; name=CG13569; 
>FBgn0030159 type=gene; loc=X:9727204..9728180; ID=FBgn0030159; name=CG9689; 
>FBgn0032948 type=gene; loc=2L:complement(20251488..20251892); ID=FBgn0032948; name=CG17570; 
>FBgn0034019 type=gene; loc=2R:10971173..10971770; ID=FBgn0034019; name=CG12959; 
>FBgn0052831 type=gene; loc=2L:11269727..11279847; ID=FBgn0052831; name=CG33695; 
>FBgn0030344 type=gene; loc=X:complement(11698586..11702821); ID=FBgn0030344; name=CG2025; 
>FBgn0053388 type=gene; loc=2R:complement(15268052..15268186); ID=FBgn0053388; name=5SrRNA:CR33388; 
>FBgn0052708 type=gene; loc=X:8931206..8932003; ID=FBgn0052708; name=CG32708; 
>FBgn0035059 type=gene; loc=2R:20270764..20274350; ID=FBgn0035059; name=CG3894; 
>FBgn0036816 type=gene; loc=3L:complement(18793891..18811519); ID=FBgn0036816; name=Indy; 
>FBgn0036476 type=gene; loc=3L:complement(15056076..15059978); ID=FBgn0036476; name=CG6945; 
>FBgn0032470 type=gene; loc=2L:13106885..13109409; ID=FBgn0032470; name=CG5142; 
>FBgn0020762 type=gene; loc=2L:4333926..4345411; ID=FBgn0020762; name=Atet; 
>FBgn0010113 type=gene; loc=3R:26103656..26187891; ID=FBgn0010113; name=hdc; 
>FBgn0052611 type=gene; loc=X:complement(13703319..13719449); ID=FBgn0052611; name=CG32611; 
>FBgn0038432 type=gene; loc=3R:12281776..12283928; ID=FBgn0038432; name=CG14883; 
>FBgn0035128 type=gene; loc=3L:281354..288826; ID=FBgn0035128; name=RhoGEF3; 
>FBgn0015247 type=gene; loc=2R:complement(11447027..11449688); ID=FBgn0015247; name=Iap2; 
>FBgn0010741 type=gene; loc=3L:complement(11047413..11048337); ID=FBgn0010741; name=l(3)01239; 
>FBgn0062978 type=gene; loc=2L:complement(16700215..16712025); ID=FBgn0062978; name=CR31808; 
>FBgn0036505 type=gene; loc=3L:complement(15485571..15489360); ID=FBgn0036505; name=CG7945; 
>FBgn0031227 type=gene; loc=2L:complement(153535..155321); ID=FBgn0031227; name=CG3709; 
>FBgn0035987 type=gene; loc=3L:9385006..9387582; ID=FBgn0035987; name=CG3689; 
>FBgn0030718 type=gene; loc=X:complement(15819781..15820695); ID=FBgn0030718; name=CG9172; 
>FBgn0032256 type=gene; loc=2L:10477114..10482983; ID=FBgn0032256; name=RluA-2; 
>FBgn0029114 type=gene; loc=3L:15200900..15208091; ID=FBgn0029114; name=Tollo; 
>FBgn0063492 type=gene; loc=2R:13922719..13923429; ID=FBgn0063492; name=GstE8; 
>FBgn0037541 type=gene; loc=3R:complement(3842397..3856488); ID=FBgn0037541; name=CG2747; 
>FBgn0002863 type=gene; loc=3R:20054378..20055378; ID=FBgn0002863; name=Acp95EF; 
>FBgn0004243 type=gene; loc=2R:3101932..3107067; ID=FBgn0004243; name=scra; 
>FBgn0036825 type=gene; loc=3L:18864333..18865183; ID=FBgn0036825; name=RpL26; 
>FBgn0034601 type=gene; loc=2R:complement(16685328..16686218); ID=FBgn0034601; name=CG4286; 
>FBgn0053539 type=gene; loc=2R:16688866..16688937; ID=FBgn0053539; name=CR33539; 
>FBgn0031988 type=gene; loc=2L:8127024..8133990; ID=FBgn0031988; name=CG8668; 
>FBgn0051658 type=gene; loc=2L:810646..811432; ID=FBgn0051658; name=CG31658; 
>FBgn0030394 type=gene; loc=X:12320910..12323388; ID=FBgn0030394; name=CG2560; 
>FBgn0029875 type=gene; loc=X:6386007..6407684; ID=FBgn0029875; name=CG3950; 
>FBgn0051624 type=gene; loc=2L:complement(21186900..21187856); ID=FBgn0051624; name=CG31624; 
>FBgn0038257 type=gene; loc=3R:complement(10571623..10573043); ID=FBgn0038257; name=smp-30; 
>FBgn0050423 type=gene; loc=2R:complement(20382570..20383436); ID=FBgn0050423; name=CG30423; 
>FBgn0030093 type=gene; loc=X:8994546..8997199; ID=FBgn0030093; name=dalao; 
>FBgn0034529 type=gene; loc=2R:16138479..16143173; ID=FBgn0034529; name=CG16742; 
>FBgn0053424 type=gene; loc=2R:complement(15254799..15254933); ID=FBgn0053424; name=5SrRNA:CR33424; 
>FBgn0053493 type=gene; loc=3L:complement(10666762..10667082); ID=FBgn0053493; name=CG33493; 
>FBgn0031904 type=gene; loc=2L:complement(7384486..7388248); ID=FBgn0031904; name=CG5149; 
>FBgn0029994 type=gene; loc=X:complement(7923585..7926838); ID=FBgn0029994; name=CG2254; 
>FBgn0052643 type=gene; loc=X:12818494..12819142; ID=FBgn0052643; name=CG32643; 
>FBgn0028485 type=gene; loc=2L:2365335..2370114; ID=FBgn0028485; name=CG4272; 
>FBgn0032230 type=gene; loc=2L:10365118..10366149; ID=FBgn0032230; name=CG13139; 
>FBgn0033062 type=gene; loc=2R:complement(1588216..1593008); ID=FBgn0033062; name=CG7843; 
>FBgn0032048 type=gene; loc=2L:complement(8492179..8506845); ID=FBgn0032048; name=Dh31; 
>FBgn0030492 type=gene; loc=X:13361950..13363069; ID=FBgn0030492; name=CG15754; 
>FBgn0053097 type=gene; loc=3R:complement(2190209..2194010); ID=FBgn0053097; name=CG33097; 
>FBgn0050484 type=gene; loc=2R:9362760..9365396; ID=FBgn0050484; name=CG30484; 
>FBgn0011278 type=gene; loc=3R:complement(17267314..17272042); ID=FBgn0011278; name=lbe; 
>FBgn0034513 type=gene; loc=2R:16051441..16053125; ID=FBgn0034513; name=CG13423; 
>FBgn0034925 type=gene; loc=2R:complement(19404490..19405834); ID=FBgn0034925; name=CG5339; 
>FBgn0004430 type=gene; loc=3L:1211300..1211771; ID=FBgn0004430; name=LysS; 
>FBgn0001086 type=gene; loc=2L:16306858..16309026; ID=FBgn0001086; name=fzy; 
>FBgn0027360 type=gene; loc=2R:complement(17197790..17198691); ID=FBgn0027360; name=Tim10; 
>FBgn0029864 type=gene; loc=X:6165725..6173089; ID=FBgn0029864; name=CG15894; 
>FBgn0038928 type=gene; loc=3R:17860204..17861330; ID=FBgn0038928; name=BG4; 
>FBgn0033898 type=gene; loc=2R:9669063..9673013; ID=FBgn0033898; name=CG8241; 
>FBgn0040390 type=gene; loc=X:complement(2224714..2231928); ID=FBgn0040390; name=CG14047; 
>FBgn0035699 type=gene; loc=3L:complement(6304977..6306843); ID=FBgn0035699; name=CG13300; 
>FBgn0031498 type=gene; loc=2L:3037411..3038795; ID=FBgn0031498; name=CG17260; 
>FBgn0034663 type=gene; loc=2R:complement(17341802..17342611); ID=FBgn0034663; name=CG4363; 
>FBgn0003470 type=gene; loc=3L:complement(1762643..1778851); ID=FBgn0003470; name=alpha-Spec; 
>FBgn0013949 type=gene; loc=3R:20691073..20692425; ID=FBgn0013949; name=Ela; 
>FBgn0032311 type=gene; loc=2L:10870240..10870656; ID=FBgn0032311; name=CG12517; 
>FBgn0030641 type=gene; loc=X:15296649..15300750; ID=FBgn0030641; name=CG6299; 
>FBgn0013275 type=gene; loc=3R:complement(7779885..7782514); ID=FBgn0013275; name=Hsp70Aa; 
>FBgn0020245 type=gene; loc=2R:10041434..10100184; ID=FBgn0020245; name=ttv; 
>FBgn0039663 type=gene; loc=3R:complement(25312733..25314987); ID=FBgn0039663; name=CG2321; 
>FBgn0029004 type=gene; loc=2L:complement(8525663..8528618); ID=FBgn0029004; name=lmg; 
>FBgn0028372 type=gene; loc=2R:15185482..15188340; ID=FBgn0028372; name=isopeptidase-T-3; 
>FBgn0053936 type=gene; loc=3R:5167592..5185154; ID=FBgn0053936; name=CG33936; 
>FBgn0043022 type=gene; loc=2L:complement(19807877..19808003); ID=FBgn0043022; name=snRNA:U5:38ABa; 
>FBgn0003053 type=gene; loc=X:4462806..4471460; ID=FBgn0003053; name=peb; 
>FBgn0027605 type=gene; loc=X:17741624..17744661; ID=FBgn0027605; name=CG6842; 
>FBgn0034629 type=gene; loc=2R:16896972..16900022; ID=FBgn0034629; name=Acox57D-d; 
>FBgn0039027 type=gene; loc=3R:18630013..18632211; ID=FBgn0039027; name=CG7031; 
>FBgn0011952 type=gene; loc=X:13848751..13848823; ID=FBgn0011952; name=tRNA:R:12Ee; 
>FBgn0039223 type=gene; loc=3R:complement(20610458..20613142); ID=FBgn0039223; name=CG5805; 
>FBgn0036668 type=gene; loc=3L:16810691..16817618; ID=FBgn0036668; name=CG9715; 
>FBgn0038694 type=gene; loc=3R:complement(15072774..15073867); ID=FBgn0038694; name=CG5217; 
>FBgn0046253 type=gene; loc=2R:complement(18851005..18855237); ID=FBgn0046253; name=CG3502; 
>FBgn0003151 type=gene; loc=2L:10221353..10222515; ID=FBgn0003151; name=Pros35; 
>FBgn0034901 type=gene; loc=2R:19259544..19260097; ID=FBgn0034901; name=CG11300; 
>FBgn0013725 type=gene; loc=2R:complement(9942199..9947198); ID=FBgn0013725; name=phyl; 
>FBgn0039818 type=gene; loc=3R:complement(26932088..26934910); ID=FBgn0039818; name=CG11318; 
>FBgn0023395 type=gene; loc=3L:19412434..19415496; ID=FBgn0023395; name=Chd3; 
>FBgn0003330 type=gene; loc=3R:complement(23506126..23507746); ID=FBgn0003330; name=Sce; 
>FBgn0041241 type=gene; loc=2R:6877807..6879176; ID=FBgn0041241; name=Gr47b; 
>FBgn0034982 type=gene; loc=2R:complement(19642773..19645638); ID=FBgn0034982; name=CG4065; 
>FBgn0036437 type=gene; loc=3L:14649984..14651101; ID=FBgn0036437; name=CG5048; 
>FBgn0063378 type=gene; loc=2R:13217274..13217340; ID=FBgn0063378; name=snoRNA:U31:54Ed; 
>FBgn0032197 type=gene; loc=2L:complement(10227760..10231689); ID=FBgn0032197; name=CG5694; 
>FBgn0058169 type=gene; loc=2L:20223514..20233866; ID=FBgn0058169; name=CC40169; 
>FBgn0031886 type=gene; loc=2L:complement(7064430..7065833); ID=FBgn0031886; name=CG8902; 
>FBgn0051005 type=gene; loc=3R:complement(27061751..27078326); ID=FBgn0051005; name=CG31005; 
>FBgn0029681 type=gene; loc=X:3729409..3735724; ID=FBgn0029681; name=CG15239; 
>FBgn0031514 type=gene; loc=2L:complement(3275794..3280533); ID=FBgn0031514; name=CG3332; 
>FBgn0052666 type=gene; loc=X:11338388..11400264; ID=FBgn0052666; name=CG32666; 
>FBgn0037648 type=gene; loc=3R:4818979..4820561; ID=FBgn0037648; name=CG11975; 
>FBgn0039285 type=gene; loc=3R:complement(20995330..20998383); ID=FBgn0039285; name=CG13661; 
>FBgn0044511 type=gene; loc=3R:complement(9207051..9207514); ID=FBgn0044511; name=mRpS21; 
>FBgn0053987 type=gene; loc=2L:22006909..22007847; ID=FBgn0053987; name=CR33987; 
>FBgn0004189 type=gene; loc=3R:20382414..20382520; ID=FBgn0004189; name=snRNA:U6:96Ab; 
>FBgn0042137 type=gene; loc=3L:16335135..16336102; ID=FBgn0042137; name=CG18814; 
>FBgn0001316 type=gene; loc=3L:complement(417790..524121); ID=FBgn0001316; name=klar; 
>FBgn0042103 type=gene; loc=3R:complement(3614001..3615904); ID=FBgn0042103; name=CG18746; 
>FBgn0037786 type=gene; loc=3R:complement(5899736..5901088); ID=FBgn0037786; name=CG5361; 
>FBgn0047000 type=gene; loc=3L:6194525..6194899; ID=FBgn0047000; name=pncr008:3L; 
>FBgn0000636 type=gene; loc=2L:18316030..18388519; ID=FBgn0000636; name=Fas3; 
>FBgn0053965 type=gene; loc=3L:1216436..1217497; ID=FBgn0053965; name=CG33965; 
>FBgn0036994 type=gene; loc=3L:complement(20384375..20386702); ID=FBgn0036994; name=CG5199; 
>FBgn0051090 type=gene; loc=3R:21732754..21742693; ID=FBgn0051090; name=CG31090; 
>FBgn0039347 type=gene; loc=3R:21444136..21446386; ID=FBgn0039347; name=CG5071; 
>FBgn0037279 type=gene; loc=3R:639058..641751; ID=FBgn0037279; name=CG1129; 
>FBgn0051793 type=gene; loc=2L:18999339..19004160; ID=FBgn0051793; name=CG31793; 
>FBgn0037897 type=gene; loc=3R:7248117..7255695; ID=FBgn0037897; name=CG5270; 
>FBgn0026787 type=gene; loc=2L:complement(103962..106718); ID=FBgn0026787; name=Nhe1; 
>FBgn0031659 type=gene; loc=2L:4971704..4973687; ID=FBgn0031659; name=CG14043; 
>FBgn0032342 type=gene; loc=2L:11106952..11110852; ID=FBgn0032342; name=CG4713; 
>FBgn0037720 type=gene; loc=3R:5417033..5450798; ID=FBgn0037720; name=CG8312; 
>FBgn0003943 type=gene; loc=3L:complement(3882791..3886670); ID=FBgn0003943; name=Ubi-p63E; 
>FBgn0015561 type=gene; loc=2R:4707027..4711685; ID=FBgn0015561; name=unpg; 
>FBgn0036930 type=gene; loc=3L:19942676..19958448; ID=FBgn0036930; name=fat2; 
>FBgn0033771 type=gene; loc=2R:8250316..8251477; ID=FBgn0033771; name=CG18356; 
>FBgn0050076 type=gene; loc=2R:complement(10059300..10060622); ID=FBgn0050076; name=CG30076; 
>FBgn0053886 type=gene; loc=2L:complement(21480470..21481024); ID=FBgn0053886; name=His2B:CG33886; 
>FBgn0053144 type=gene; loc=2R:complement(6256303..6298752); ID=FBgn0053144; name=CG33144; 
>FBgn0010452 type=gene; loc=3L:13088220..13092035; ID=FBgn0010452; name=trn; 
>FBgn0033668 type=gene; loc=2R:7455391..7483344; ID=FBgn0033668; name=CG13188; 
>FBgn0014027 type=gene; loc=3L:12997315..13010384; ID=FBgn0014027; name=RpS12; 
>FBgn0040637 type=gene; loc=3L:20839636..20840188; ID=FBgn0040637; name=CG11458; 
>FBgn0034833 type=gene; loc=2R:18692008..18692888; ID=FBgn0034833; name=CG13539; 
>FBgn0035724 type=gene; loc=3L:complement(6939207..6941908); ID=FBgn0035724; name=CG10064; 
>FBgn0045471 type=gene; loc=3R:15946782..15947999; ID=FBgn0045471; name=Gr92a; 
>FBgn0043025 type=gene; loc=3L:complement(17720182..17722195); ID=FBgn0043025; name=Msi; 
>FBgn0030320 type=gene; loc=X:complement(11444041..11449398); ID=FBgn0030320; name=CG2247; 
>FBgn0023175 type=gene; loc=2R:complement(5358440..5359647); ID=FBgn0023175; name=Prosalpha7; 
>FBgn0040723 type=gene; loc=2L:1200237..1201220; ID=FBgn0040723; name=CG5011; 
>FBgn0005683 type=gene; loc=2L:complement(10420695..10422755); ID=FBgn0005683; name=pie; 
>FBgn0034168 type=gene; loc=2R:12460462..12462024; ID=FBgn0034168; name=CG15614; 
>FBgn0040256 type=gene; loc=3R:complement(6952422..6954162); ID=FBgn0040256; name=Ugt86Dd; 
>FBgn0004778 type=gene; loc=3R:complement(2515395..2515908); ID=FBgn0004778; name=Ccp84Af; 
>FBgn0035532 type=gene; loc=3L:complement(4304637..4305762); ID=FBgn0035532; name=CG15014; 
>FBgn0036874 type=gene; loc=3L:complement(19449542..19451728); ID=FBgn0036874; name=CG9472; 
>FBgn0014135 type=gene; loc=3R:complement(15619795..15662539); ID=FBgn0014135; name=bnl; 
>FBgn0037571 type=gene; loc=3R:complement(4136925..4137807); ID=FBgn0037571; name=CG11694; 
>FBgn0037389 type=gene; loc=3R:1674675..1675175; ID=FBgn0037389; name=CG10991; 
>FBgn0053209 type=gene; loc=3L:complement(15578563..15597709); ID=FBgn0053209; name=comm3; 
>FBgn0039065 type=gene; loc=3R:complement(19075165..19077199); ID=FBgn0039065; name=CG4449; 
>FBgn0034809 type=gene; loc=2R:complement(18516754..18517329); ID=FBgn0034809; name=CG13542; 
>FBgn0031224 type=gene; loc=2L:143376..144227; ID=FBgn0031224; name=CG11454; 
>FBgn0032188 type=gene; loc=2L:10173043..10174056; ID=FBgn0032188; name=CG13137; 
>FBgn0037998 type=gene; loc=3R:complement(8041377..8045412); ID=FBgn0037998; name=CG4848; 
>FBgn0041585 type=gene; loc=2R:13358308..13375433; ID=FBgn0041585; name=olf186-F; 
>FBgn0038032 type=gene; loc=3R:complement(8216405..8221702); ID=FBgn0038032; name=CG10096; 
>FBgn0037806 type=gene; loc=3R:6128612..6133442; ID=FBgn0037806; name=CG11872; 
>FBgn0050437 type=gene; loc=2R:921124..961539; ID=FBgn0050437; name=CG30437; 
>FBgn0035000 type=gene; loc=2R:19885431..19886340; ID=FBgn0035000; name=CG13578; 
>FBgn0040904 type=gene; loc=X:complement(4121844..4122143); ID=FBgn0040904; name=CG15577; 
>FBgn0052745 type=gene; loc=X:complement(6125469..6125988); ID=FBgn0052745; name=CG32745; 
>FBgn0040529 type=gene; loc=3R:complement(4165659..4166763); ID=FBgn0040529; name=CG9603; 
>FBgn0032624 type=gene; loc=2L:complement(17007476..17008983); ID=FBgn0032624; name=CG6304; 
>FBgn0050340 type=gene; loc=2R:complement(5111722..5113024); ID=FBgn0050340; name=CG30340; 
>FBgn0037632 type=gene; loc=3R:4627275..4631958; ID=FBgn0037632; name=CG8351; 
>FBgn0005672 type=gene; loc=2L:complement(19563828..19573253); ID=FBgn0005672; name=spi; 
>FBgn0052113 type=gene; loc=3L:12729093..12742508; ID=FBgn0052113; name=CG32113; 
>FBgn0053908 type=gene; loc=2L:complement(21415845..21416259); ID=FBgn0053908; name=His2B:CG33908; 
>FBgn0030593 type=gene; loc=X:complement(14735886..14739462); ID=FBgn0030593; name=CG9512; 
>FBgn0036697 type=gene; loc=3L:17014775..17020715; ID=FBgn0036697; name=rogdi; 
>FBgn0004413 type=gene; loc=2L:complement(18438427..18439166); ID=FBgn0004413; name=RpS26; 
>FBgn0016762 type=gene; loc=2R:19201598..19202838; ID=FBgn0016762; name=angel; 
>FBgn0038071 type=gene; loc=3R:8473782..8478635; ID=FBgn0038071; name=CG6234; 
>FBgn0004782 type=gene; loc=3R:complement(2527689..2528599); ID=FBgn0004782; name=Ccp84Ab; 
>FBgn0029705 type=gene; loc=X:complement(4172317..4174540); ID=FBgn0029705; name=CG12693; 
>FBgn0032868 type=gene; loc=2L:20622150..20622756; ID=FBgn0032868; name=CG17472; 
>FBgn0041184 type=gene; loc=2L:complement(18134597..18148339); ID=FBgn0041184; name=Socs36E; 
>FBgn0032281 type=gene; loc=2L:10681973..10682405; ID=FBgn0032281; name=CG17107; 
>FBgn0054021 type=gene; loc=2R:7852894..7853448; ID=FBgn0054021; name=CG34021; 
>FBgn0034715 type=gene; loc=2R:complement(17728774..17731172); ID=FBgn0034715; name=Oatp58Db; 
>FBgn0041188 type=gene; loc=3R:11234158..11243020; ID=FBgn0041188; name=Atx2; 
>FBgn0000448 type=gene; loc=2R:complement(5717249..5745204); ID=FBgn0000448; name=Hr46; 
>FBgn0020129 type=gene; loc=2R:complement(19665266..19666896); ID=FBgn0020129; name=DnaJ-60; 
>FBgn0031546 type=gene; loc=2L:3520262..3522556; ID=FBgn0031546; name=CG8851; 
>FBgn0025814 type=gene; loc=X:20853165..20854790; ID=FBgn0025814; name=Mgstl; 
>FBgn0015542 type=gene; loc=3R:25884036..25947113; ID=FBgn0015542; name=sima; 
>FBgn0046821 type=gene; loc=2R:complement(15176164..15176184); ID=FBgn0046821; name=mir-4; 
>FBgn0035520 type=gene; loc=3L:complement(4244830..4245993); ID=FBgn0035520; name=CG11586; 
>FBgn0052719 type=gene; loc=X:complement(7354127..7358079); ID=FBgn0052719; name=CG32719; 
>FBgn0036089 type=gene; loc=3L:complement(10601627..10602431); ID=FBgn0036089; name=CG14151; 
>FBgn0033049 type=gene; loc=2R:1505186..1508815; ID=FBgn0033049; name=CG14471; 
>FBgn0031639 type=gene; loc=2L:complement(4849439..4850418); ID=FBgn0031639; name=mRpS2; 
>FBgn0030598 type=gene; loc=X:complement(14753189..14757426); ID=FBgn0030598; name=CG9503; 
>FBgn0035429 type=gene; loc=3L:3263779..3274425; ID=FBgn0035429; name=CG12017; 
>FBgn0033273 type=gene; loc=2R:3679760..3681904; ID=FBgn0033273; name=CG2183; 
>FBgn0035571 type=gene; loc=3L:complement(4733240..4734565); ID=FBgn0035571; name=CG12493; 
>FBgn0040368 type=gene; loc=X:complement(1015448..1019211); ID=FBgn0040368; name=CG32859; 
>FBgn0032659 type=gene; loc=2L:18003923..18004755; ID=FBgn0032659; name=CG15149; 
>FBgn0032100 type=gene; loc=2L:9164235..9165425; ID=FBgn0032100; name=CG13108; 
>FBgn0015282 type=gene; loc=3R:complement(19755556..19757247); ID=FBgn0015282; name=Pros26.4; 
>FBgn0033379 type=gene; loc=2R:complement(4623314..4625766); ID=FBgn0033379; name=Mys45A; 
>FBgn0029874 type=gene; loc=X:complement(6371337..6373097); ID=FBgn0029874; name=CG3342; 
>FBgn0029780 type=gene; loc=X:complement(5498755..5500964); ID=FBgn0029780; name=CG17758; 
>FBgn0046322 type=gene; loc=3R:complement(19974834..19975904); ID=FBgn0046322; name=p38c; 
>FBgn0037168 type=gene; loc=3L:complement(22436835..22439074); ID=FBgn0037168; name=CG12377; 
>FBgn0010441 type=gene; loc=3R:complement(23076853..23078902); ID=FBgn0010441; name=pll; 
>FBgn0000307 type=gene; loc=2L:complement(16338357..16348529); ID=FBgn0000307; name=chif; 
>FBgn0026376 type=gene; loc=3L:complement(13872150..13890507); ID=FBgn0026376; name=Rgl; 
>FBgn0035163 type=gene; loc=3L:817626..820085; ID=FBgn0035163; name=CG13886; 
>FBgn0064237 type=gene; loc=2R:13908525..13910145; ID=FBgn0064237; name=Idgf5; 
>FBgn0038228 type=gene; loc=3R:complement(10242123..10243190); ID=FBgn0038228; name=CG14847; 
>FBgn0016701 type=gene; loc=2R:13087745..13089842; ID=FBgn0016701; name=Rab4; 
